ticket_id,customer,priority,status,hours
000009000,Cyberdyne Systems,high,closed,15.55
000000001,Sterling Cooper,high,in_progress,34.5
000000002,,low,open,5.5
000000003,Cyberdyne Systems,high,open,34.5
000000004,Hooli Media,high,closed,0.0
000000005,Monarch Industries,high,closed,21.5
000000006,Sterling Cooper Media,medium,open,5.5
000000007,Pied Piper Software,medium,in_progress,16.5
000000008,Tyrell Biotech,high,open,24.0
000000009,Oceanic Travel,high,in_progress,41
000000010,Tyrell Corporation,high,open,18.5
000000011,Wayne Medical,low,closed,17.5
000000012,Roxxon Pharmaceuticals,low,closed,22.5
000000013,Umbrella Pharmaceuticals,high,in_progress,4.5
000000014,Oceanic Logistics,high,in_progress,15.5
000000015,,medium,in_progress,35.5
000000016,Gringotts,low,open,20.0
000000017,Duff Brewing,low,in_progress,20.0
000000018,Weyland Aerospace,medium,in_progress,29.0
000000019,Queen Consolidated,low,in_progress,abc
000000020,Umbrella Medical,high,closed,23.0
000000021,Queen Consolidated,high,closed,5.5
000000022,Gekko & Co,low,in_progress,10.0
000000023,Initech Digital,high,open,24.5
000000024,Soylent Nutrition,high,closed,35.0
000000025,Initech,high,in_progress,7.0
000000026,Stark Industries International,medium,in_progress,21.5
ABC1,Wayne Aerospace,urgent,pending,-2
000000028,Initech Consulting,high,open,32.0
000000029,Tyrell Research,high,in_progress,38.5
123,Stark Defense,low,in_progress,33.5
000000031,Gekko & Co,medium,closed,15.0
ABC1,Acme Global,low,open,31.0
000000033,Prestige Worldwide Entertainment,high,open,1.25
000000034,LexCorp Technologies,high,in_progress,12.5
000000035,Monarch Research,high,in_progress,23.5
000000036,Pied Piper Networks,medium,open,15.5
000000037,Weyland-Yutani Logistics,low,in_progress,35.0
000000038,Pied Piper Technologies,low,open,40.0
000000039,Monarch Solutions,low,closed,41
000000040,Oscorp Medical,low,in_progress,8.0
000000041,Globex Corporation International,high,closed,15.5
000000042,Tyrell Robotics,low,open,6.0
000000043,Sterling Cooper Advertising,medium,closed,29.5
000000044,Soylent Corp,high,in_progress,6.0
000000045,,low,open,12.0
000000046,Queen Consolidated,medium,open,17.5
000000047,LexCorp,medium,in_progress,6.0
000000048,,low,open,15.0
000000049,Monarch Technology,low,closed,3.5
000000050,Acme,urgent,closed,29.0
000000051,Monarch Global,high,in_progress,31.0
ABC1,Oceanic Travel,urgent,pending,-2
000000053,Prestige Worldwide Media,low,open,37.0
000000054,Queen Consolidated Technologies,low,open,32.5
ABC1,Vandelay Imports,urgent,pending,-2
000000056,Massive Dynamic Security,low,in_progress,15.5
000000057,Oceanic Airlines,high,open,26.5
000000058,Tyrell Corporation International,high,closed,16.5
000000059,Prestige Worldwide Media,low,closed,25.0
12345,Tyrell Research,medium,closed,4.5
000000061,Tyrell Corporation International,low,open,34.0
000000062,Initech Consulting,low,closed,4.0
000000063,Umbrella Research,medium,open,28.0
000000064,Massive Dynamic Labs,high,in_progress,33.5
000000065,,medium,in_progress,6.5
000000066,Pied Piper,high,in_progress,9.5
000000067,Nakatomi Holdings,high,closed,13.0
000000068,Initech Consulting,high,closed,16.0
000000069,Soylent Corp,low,in_progress,27.0
000000070,Tyrell Corporation,low,closed,8.0
000000071,Initech Consulting,low,in_progress,28.0
000000072,Umbrella Medical,high,open,7.0
000000073,Lexington Labs,high,open,41
000000074,Oceanic Airlines,medium,closed,2.5
000000075,Nakatomi Holdings,high,open,6.5
000000076,Massive Dynamic International,medium,in_progress,9.5
000000077,Stark Logistics,low,open,26.0
000000078,Black Mesa Technologies,urgent,in_progress,15.5
000000079,,medium,open,30.0
000000080,,medium,closed,14.5
123,Oscorp Industries,medium,closed,17.5
000000082,Dunder Mifflin Consulting,medium,in_progress,34.0
000000083,Wonka Industries,low,closed,11.0
000000084,Initech Consulting,low,open,38.0
000000085,Prestige Worldwide Media,medium,in_progress,32.5
ABC1,Initech Global,urgent,pending,-2
000000087,Gekko Capital,high,in_progress,12.5
000000088,Monarch Solutions,high,closed,39.5
000000089,Roxxon,high,closed,32.0
000000090,Tyrell Robotics,medium,closed,18.5
000000091,Oscorp Industries,medium,in_progress,24.0
000000092,Acme Logistics,high,in_progress,19.0
000000093,Acme,medium,closed,13.0
000000094,Umbrella Global,high,in_progress,20.5
000000095,Wonka Foods International,high,open,32.5
000000096,Oceanic Logistics,high,open,18.0
000000097,Black Mesa Technologies,low,open,19.5
000000098,Aperture Systems,low,open,2.5
000000099,Prestige Worldwide Entertainment,high,open,29.0
000000100,Initech Global,low,in_progress,24.5
000000101,Kord Enterprises,low,in_progress,0.0
000000102,Pied Piper,medium,open,11.0
000000103,Pied Piper Networks,medium,open,35.5
000000104,Roxxon,medium,open,29.5
000000105,Massive Dynamic International,high,closed,28.0
000000106,Vehement Technologies,medium,in_progress,28.5
000000107,Prestige Worldwide Entertainment,medium,closed,15.5
000000108,Wayne Construction,high,closed,40.0
000000109,Cyberdyne Research,low,in_progress,18.0
000000110,Black Mesa Technologies,medium,in_progress,5.0
ABC1,Wayne Medical,urgent,pending,-2
000000112,Acme Technologies,medium,closed,34.5
000000113,Prestige Worldwide,low,closed,24.5
000000114,Cyberdyne Global,high,open,36.5
000000115,Globex,medium,closed,24.5
000000116,Globex International,high,in_progress,34.5
000000117,Pied Piper Technologies,medium,open,17.0
000000118,Wonka Industries,medium,closed,25.5
000000119,Soylent Nutrition,low,in_progress,34.0
12345,Lexington Technologies,high,in_progress,1.5
000000121,Massive Dynamic Analytics,low,pending,16.5
000000122,Oceanic Shipping,medium,closed,24.0
000000123,Globex International,medium,open,30.0
ABC1,LexCorp Technologies,urgent,pending,-2
ABC1,Oceanic Airlines,low,open,12.5
000000126,Prestige Worldwide Entertainment,high,open,36.0
000000127,Soylent Nutrition,high,closed,23.5
000000128,Wonka Chocolate,low,closed,-2
000000129,Initech Global,high,closed,25.0
000000130,Aperture Systems,low,in_progress,40.0
000000131,Massive Dynamic Labs,high,in_progress,7.5
000000132,Tyrell Corporation International,low,closed,34.0
000000133,Umbrella Research,low,in_progress,21.5
000000134,Globex International,urgent,open,27.5
000000135,Tyrell Biotech,high,open,27.5
000000136,Gekko Capital,high,closed,1.25
000000137,Umbrella Pharmaceuticals,medium,open,5.5
000000138,Vandelay Textiles,low,closed,36.0
000000139,Queen Consolidated Energy,medium,open,31.5
000000140,Initech Systems,medium,open,22.5
000000141,Nakatomi Security,medium,in_progress,17.5
000000142,Pied Piper Networks,low,open,15.0
000000143,Aperture Science,high,open,30.0
000000144,Aperture Science,medium,open,5.5
000000145,Massive Dynamic Security,high,open,19.5
000000146,Umbrella Research,medium,in_progress,33.5
000000147,Grayson Financial,medium,closed,29.0
000000148,Queen Consolidated Labs,low,open,12.0
000000149,Stark Industries International,high,open,12.0
000000150,Monarch Technology,medium,in_progress,37.5
000000151,Roxxon Industries,high,closed,6.0
000000152,Oceanic Travel,low,closed,11.0
000000153,Wayne Enterprises International,low,closed,2.5
000000154,Hooli Cloud,medium,in_progress,8.0
000000155,Aperture Science,low,open,36.5
000000156,Duff Beverages,medium,closed,11.5
000000157,Queen Consolidated Labs,medium,open,4.0
000000158,Oscorp,high,in_progress,3.0
12345,Tyrell Corporation International,medium,open,15.5
000000160,Roxxon Energy,high,closed,28.5
000000161,Tyrell Research,high,closed,19.5
000000162,Prestige Worldwide,high,in_progress,6.0
000000163,Nakatomi Holdings,high,open,16.5
000000164,Monarch Industries,low,open,35.0
000000165,Acme,medium,pending,38.0
000000166,Wayne Medical,medium,in_progress,18.0
000000167,Oceanic Shipping,low,in_progress,14.5
000000168,Aperture Systems,medium,open,34.5
000000169,Lexington Labs,medium,open,4.5
000000170,Soylent Foods,urgent,in_progress,36.0
000000171,Soylent Nutrition,high,closed,25.5
000000172,Nakatomi Development,high,closed,28.0
000000173,Oceanic Airlines,medium,in_progress,abc
123,Queen Industries,high,in_progress,37.5
000000175,Acme Logistics,medium,in_progress,28.0
000000176,Initech Systems,high,closed,31.0
000000177,Gringotts Banking,medium,closed,21.0
000000178,Sterling Cooper,low,closed,26.0
000000179,Hooli Communications,high,closed,35.0
12345,Weyland-Yutani,medium,closed,20.5
000000181,Acme,high,in_progress,29.5
000000182,Wonka Foods,high,closed,39.5
000000183,Wonka Foods International,low,open,17.0
000000184,Hooli Communications,medium,in_progress,31.0
000000185,LexCorp Financial,high,open,-2
000000186,Nakatomi Corporation,low,open,29.5
000000187,Hooli Ventures,medium,in_progress,18.5
000000188,Stark Manufacturing,medium,closed,30.0
000000189,Hooli Cloud,low,closed,12.0
000000190,Dunder Mifflin Consulting,high,open,4.0
000000191,Acme Technologies,medium,in_progress,17.0
000000192,Wonka Confectionery,high,closed,37.5
000000193,Aperture Science,low,closed,34.0
000000194,Black Mesa Technologies,high,in_progress,24.0
000000195,Monarch Financial,low,in_progress,15.0
000000196,Wayne Medical,medium,open,20.0
000000197,Queen Consolidated Energy,medium,in_progress,9.5
000000198,Vandelay Industries,low,in_progress,37.5
000000199,Dunder Mifflin,medium,open,33.5
000000200,Umbrella,high,open,26.0
000000201,Hooli Ventures,low,closed,16.5
000000202,Hooli Software,high,open,21.0
000000203,Wayne Enterprises International,medium,closed,40.0
000000204,Oscorp Medical,high,open,39.5
000000205,Hooli Communications,low,pending,5.5
000000206,Dunder Mifflin,medium,open,19.0
000000207,Tyrell Corporation,medium,open,18.5
000000208,Stark Energy,low,open,33.5
000000209,Initech Systems,low,open,5.0
000000210,Queen Consolidated Energy,high,in_progress,15.0
000000211,Cyberdyne Global,low,open,29.5
000000212,Tyrell Biotech,medium,in_progress,0.5
000000213,Soylent Nutrition,medium,in_progress,34.5
ABC1,Wonka Foods International,urgent,pending,-2
000000215,Queen Consolidated Labs,medium,closed,12.5
000000216,Monarch Technology,low,open,24.0
000000217,Initech Global,medium,in_progress,18.5
ABC1,Hooli Software,urgent,pending,-2
000000219,Massive Dynamic,high,in_progress,31.5
000000220,Hooli Communications,low,in_progress,22.5
000000221,Wonka Foods,high,closed,8.5
000000222,Oceanic Airlines,medium,closed,2.0
000000223,Stark Technologies,low,closed,20.5
000000224,Acme Logistics,low,open,34.5
000000225,Roxxon Pharmaceuticals,high,in_progress,17.0
000000226,Acme Manufacturing,medium,closed,21.5
000000227,Soylent Nutrition,low,open,14.0
000000228,Hooli Software,high,closed,5.5
000000229,Umbrella,medium,in_progress,7.5
000000230,Initech Consulting,high,closed,23.5
000000231,Wayne Medical,medium,open,abc
000000232,Pied Piper Technologies,high,open,29.5
000000233,Massive Dynamic Labs,high,closed,7.0
ABC1,Vandelay Industries,medium,closed,7.0
000000235,Wayne Financial,medium,closed,23.5
